Percentage of Emergency Department visits with Diagnosed COVID-19 in United States
Date generated: Thu Oct 31 2024 15:30:31 GMT-0500 (Central Daylight Time)
Date,Age Range,Daily Percent of ED Visits with diagnosed COVID-19,7-day Average of ED Visits with diagnosed COVID-19
2023-10-30,00 to 11,0.98,1.18
2023-10-30,12 to 15,0.68,0.67
2023-10-30,16 to 17,0.69,0.7
2023-10-30,18 to 24,0.92,0.91
2023-10-30,25 to 39,0.91,0.98
2023-10-30,40 to 49,0.98,1.05
2023-10-30,50 to 64,1.18,1.24
2023-10-30,65 to 74,1.71,1.87
2023-10-30,75+,2.36,2.6
2023-10-30,All Ages,1.23,1.34
2023-10-31,00 to 11,1.23,1.18
2023-10-31,12 to 15,0.68,0.69
2023-10-31,16 to 17,0.85,0.69
2023-10-31,18 to 24,1,0.92
2023-10-31,25 to 39,0.92,0.95
2023-10-31,40 to 49,1.14,1.05
2023-10-31,50 to 64,1.17,1.22
2023-10-31,65 to 74,1.51,1.83
2023-10-31,75+,2.37,2.58
2023-10-31,All Ages,1.28,1.33
2023-11-01,00 to 11,1.08,1.16
2023-11-01,12 to 15,0.67,0.69
2023-11-01,16 to 17,0.68,0.69
2023-11-01,18 to 24,1.05,0.91
2023-11-01,25 to 39,1.05,0.95
2023-11-01,40 to 49,1.08,1.06
2023-11-01,50 to 64,1.2,1.22
2023-11-01,65 to 74,1.63,1.81
2023-11-01,75+,2.39,2.56
2023-11-01,All Ages,1.29,1.32
2023-11-02,00 to 11,1.23,1.17
2023-11-02,12 to 15,0.69,0.69
2023-11-02,16 to 17,0.77,0.72
2023-11-02,18 to 24,1.14,0.93
2023-11-02,25 to 39,1.05,0.95
2023-11-02,40 to 49,1.08,1.06
2023-11-02,50 to 64,1.23,1.22
2023-11-02,65 to 74,1.72,1.78
2023-11-02,75+,2.39,2.53
2023-11-02,All Ages,1.34,1.31
2023-11-03,00 to 11,1.18,1.16
2023-11-03,12 to 15,0.72,0.7
2023-11-03,16 to 17,1.03,0.76
2023-11-03,18 to 24,1.06,0.96
2023-11-03,25 to 39,0.99,0.97
2023-11-03,40 to 49,1.05,1.06
2023-11-03,50 to 64,1.23,1.23
2023-11-03,65 to 74,1.65,1.75
2023-11-03,75+,2.3,2.5
2023-11-03,All Ages,1.31,1.31
2023-11-04,00 to 11,1.32,1.17
2023-11-04,12 to 15,0.7,0.7
2023-11-04,16 to 17,0.82,0.79
2023-11-04,18 to 24,1.15,1.01
2023-11-04,25 to 39,1.04,0.99
2023-11-04,40 to 49,1.17,1.07
2023-11-04,50 to 64,1.44,1.24
2023-11-04,65 to 74,2.09,1.77
2023-11-04,75+,2.91,2.51
2023-11-04,All Ages,1.5,1.33
2023-11-05,00 to 11,1.28,1.18
2023-11-05,12 to 15,0.81,0.71
2023-11-05,16 to 17,1.1,0.84
2023-11-05,18 to 24,1.07,1.06
2023-11-05,25 to 39,1.17,1.02
2023-11-05,40 to 49,1.28,1.11
2023-11-05,50 to 64,1.64,1.29
2023-11-05,65 to 74,2.01,1.75
2023-11-05,75+,3.09,2.53
2023-11-05,All Ages,1.57,1.36
2023-11-06,00 to 11,1.2,1.22
2023-11-06,12 to 15,1.05,0.77
2023-11-06,16 to 17,0.93,0.88
2023-11-06,18 to 24,1.04,1.07
2023-11-06,25 to 39,1.19,1.06
2023-11-06,40 to 49,1.24,1.15
2023-11-06,50 to 64,1.38,1.33
2023-11-06,65 to 74,2,1.8
2023-11-06,75+,2.55,2.56
2023-11-06,All Ages,1.46,1.39
2023-11-07,00 to 11,1.21,1.21
2023-11-07,12 to 15,0.71,0.77
2023-11-07,16 to 17,1.03,0.91
2023-11-07,18 to 24,1.26,1.11
2023-11-07,25 to 39,1.26,1.11
2023-11-07,40 to 49,1.28,1.17
2023-11-07,50 to 64,1.38,1.35
2023-11-07,65 to 74,1.98,1.87
2023-11-07,75+,2.63,2.6
2023-11-07,All Ages,1.49,1.42
2023-11-08,00 to 11,1.3,1.24
2023-11-08,12 to 15,0.89,0.81
2023-11-08,16 to 17,0.88,0.94
2023-11-08,18 to 24,1.2,1.13
2023-11-08,25 to 39,1.25,1.14
2023-11-08,40 to 49,1.3,1.2
2023-11-08,50 to 64,1.45,1.39
2023-11-08,65 to 74,2.02,1.92
2023-11-08,75+,2.76,2.65
2023-11-08,All Ages,1.54,1.46
2023-11-09,00 to 11,1.18,1.24
2023-11-09,12 to 15,0.72,0.81
2023-11-09,16 to 17,0.85,0.95
2023-11-09,18 to 24,1.02,1.12
2023-11-09,25 to 39,1.15,1.15
2023-11-09,40 to 49,1.27,1.23
2023-11-09,50 to 64,1.47,1.42
2023-11-09,65 to 74,2.1,1.98
2023-11-09,75+,2.74,2.7
2023-11-09,All Ages,1.49,1.48
2023-11-10,00 to 11,1.26,1.25
2023-11-10,12 to 15,0.79,0.82
2023-11-10,16 to 17,0.73,0.91
2023-11-10,18 to 24,1.11,1.12
2023-11-10,25 to 39,1.06,1.16
2023-11-10,40 to 49,1.21,1.25
2023-11-10,50 to 64,1.33,1.44
2023-11-10,65 to 74,1.87,2.01
2023-11-10,75+,2.62,2.75
2023-11-10,All Ages,1.44,1.5
2023-11-11,00 to 11,1.35,1.25
2023-11-11,12 to 15,0.73,0.83
2023-11-11,16 to 17,0.77,0.9
2023-11-11,18 to 24,1.11,1.12
2023-11-11,25 to 39,1.11,1.17
2023-11-11,40 to 49,1.21,1.26
2023-11-11,50 to 64,1.51,1.45
2023-11-11,65 to 74,2.21,2.02
2023-11-11,75+,3.18,2.78
2023-11-11,All Ages,1.58,1.51
2023-11-12,00 to 11,1.27,1.25
2023-11-12,12 to 15,1.17,0.87
2023-11-12,16 to 17,0.91,0.88
2023-11-12,18 to 24,1.07,1.12
2023-11-12,25 to 39,1.22,1.18
2023-11-12,40 to 49,1.3,1.26
2023-11-12,50 to 64,1.64,1.44
2023-11-12,65 to 74,2.35,2.06
2023-11-12,75+,3.3,2.8
2023-11-12,All Ages,1.64,1.52
2023-11-13,00 to 11,1.28,1.27
2023-11-13,12 to 15,0.93,0.85
2023-11-13,16 to 17,0.79,0.86
2023-11-13,18 to 24,1.11,1.13
2023-11-13,25 to 39,1.17,1.17
2023-11-13,40 to 49,1.31,1.27
2023-11-13,50 to 64,1.45,1.46
2023-11-13,65 to 74,1.94,2.05
2023-11-13,75+,2.67,2.82
2023-11-13,All Ages,1.49,1.52
2023-11-14,00 to 11,1.34,1.29
2023-11-14,12 to 15,0.78,0.86
2023-11-14,16 to 17,0.85,0.83
2023-11-14,18 to 24,1.17,1.11
2023-11-14,25 to 39,1.26,1.17
2023-11-14,40 to 49,1.28,1.27
2023-11-14,50 to 64,1.49,1.47
2023-11-14,65 to 74,2.1,2.07
2023-11-14,75+,2.86,2.86
2023-11-14,All Ages,1.56,1.53
2023-11-15,00 to 11,1.35,1.29
2023-11-15,12 to 15,0.85,0.85
2023-11-15,16 to 17,0.83,0.82
2023-11-15,18 to 24,1.24,1.12
2023-11-15,25 to 39,1.39,1.19
2023-11-15,40 to 49,1.38,1.28
2023-11-15,50 to 64,1.52,1.49
2023-11-15,65 to 74,2.2,2.1
2023-11-15,75+,2.95,2.88
2023-11-15,All Ages,1.64,1.55
2023-11-16,00 to 11,1.34,1.31
2023-11-16,12 to 15,0.9,0.88
2023-11-16,16 to 17,0.9,0.83
2023-11-16,18 to 24,1.12,1.13
2023-11-16,25 to 39,1.28,1.21
2023-11-16,40 to 49,1.39,1.3
2023-11-16,50 to 64,1.57,1.5
2023-11-16,65 to 74,2.22,2.12
2023-11-16,75+,2.97,2.92
2023-11-16,All Ages,1.63,1.57
2023-11-17,00 to 11,1.35,1.32
2023-11-17,12 to 15,0.78,0.88
2023-11-17,16 to 17,0.69,0.82
2023-11-17,18 to 24,1.1,1.13
2023-11-17,25 to 39,1.14,1.22
2023-11-17,40 to 49,1.21,1.3
2023-11-17,50 to 64,1.49,1.52
2023-11-17,65 to 74,2.16,2.16
2023-11-17,75+,3.03,2.98
2023-11-17,All Ages,1.58,1.59
2023-11-18,00 to 11,1.46,1.34
2023-11-18,12 to 15,1.02,0.91
2023-11-18,16 to 17,0.86,0.83
2023-11-18,18 to 24,1.16,1.14
2023-11-18,25 to 39,1.25,1.24
2023-11-18,40 to 49,1.29,1.31
2023-11-18,50 to 64,1.72,1.55
2023-11-18,65 to 74,2.53,2.2
2023-11-18,75+,3.62,3.04
2023-11-18,All Ages,1.78,1.61
2023-11-19,00 to 11,1.51,1.37
2023-11-19,12 to 15,0.86,0.87
2023-11-19,16 to 17,0.91,0.83
2023-11-19,18 to 24,1.17,1.15
2023-11-19,25 to 39,1.27,1.25
2023-11-19,40 to 49,1.55,1.34
2023-11-19,50 to 64,1.88,1.58
2023-11-19,65 to 74,2.78,2.26
2023-11-19,75+,3.78,3.1
2023-11-19,All Ages,1.87,1.64
2023-11-20,00 to 11,1.34,1.38
2023-11-20,12 to 15,0.91,0.87
2023-11-20,16 to 17,1.13,0.88
2023-11-20,18 to 24,1.25,1.17
2023-11-20,25 to 39,1.25,1.26
2023-11-20,40 to 49,1.42,1.36
2023-11-20,50 to 64,1.61,1.6
2023-11-20,65 to 74,2.16,2.29
2023-11-20,75+,3.12,3.17
2023-11-20,All Ages,1.68,1.67
2023-11-21,00 to 11,1.49,1.41
2023-11-21,12 to 15,0.78,0.87
2023-11-21,16 to 17,0.96,0.89
2023-11-21,18 to 24,1.16,1.17
2023-11-21,25 to 39,1.34,1.28
2023-11-21,40 to 49,1.5,1.39
2023-11-21,50 to 64,1.6,1.62
2023-11-21,65 to 74,2.42,2.34
2023-11-21,75+,3.24,3.23
2023-11-21,All Ages,1.76,1.7
2023-11-22,00 to 11,1.5,1.43
2023-11-22,12 to 15,0.94,0.88
2023-11-22,16 to 17,0.93,0.91
2023-11-22,18 to 24,1.36,1.19
2023-11-22,25 to 39,1.35,1.27
2023-11-22,40 to 49,1.47,1.4
2023-11-22,50 to 64,1.87,1.67
2023-11-22,65 to 74,2.45,2.38
2023-11-22,75+,3.52,3.31
2023-11-22,All Ages,1.88,1.74
2023-11-23,00 to 11,1.78,1.49
2023-11-23,12 to 15,0.86,0.88
2023-11-23,16 to 17,1.23,0.95
2023-11-23,18 to 24,1.44,1.22
2023-11-23,25 to 39,1.5,1.29
2023-11-23,40 to 49,1.64,1.43
2023-11-23,50 to 64,2.14,1.74
2023-11-23,65 to 74,3.37,2.51
2023-11-23,75+,3.81,3.42
2023-11-23,All Ages,2.16,1.8
2023-11-24,00 to 11,1.62,1.53
2023-11-24,12 to 15,0.82,0.89
2023-11-24,16 to 17,0.88,0.98
2023-11-24,18 to 24,1.42,1.27
2023-11-24,25 to 39,1.37,1.33
2023-11-24,40 to 49,1.51,1.48
2023-11-24,50 to 64,1.83,1.79
2023-11-24,65 to 74,2.62,2.59
2023-11-24,75+,3.44,3.48
2023-11-24,All Ages,1.92,1.85
2023-11-25,00 to 11,1.79,1.57
2023-11-25,12 to 15,1.12,0.9
2023-11-25,16 to 17,1.08,1.02
2023-11-25,18 to 24,1.47,1.32
2023-11-25,25 to 39,1.4,1.35
2023-11-25,40 to 49,1.57,1.52
2023-11-25,50 to 64,2.01,1.83
2023-11-25,65 to 74,2.81,2.63
2023-11-25,75+,3.7,3.49
2023-11-25,All Ages,2.02,1.89
2023-11-26,00 to 11,2.1,1.66
2023-11-26,12 to 15,1.06,0.93
2023-11-26,16 to 17,0.93,1.02
2023-11-26,18 to 24,1.6,1.38
2023-11-26,25 to 39,1.77,1.42
2023-11-26,40 to 49,1.81,1.56
2023-11-26,50 to 64,2.08,1.86
2023-11-26,65 to 74,3.28,2.69
2023-11-26,75+,4.21,3.55
2023-11-26,All Ages,2.28,1.94
2023-11-27,00 to 11,1.77,1.73
2023-11-27,12 to 15,0.82,0.91
2023-11-27,16 to 17,1.12,1.02
2023-11-27,18 to 24,1.63,1.44
2023-11-27,25 to 39,1.58,1.48
2023-11-27,40 to 49,1.63,1.59
2023-11-27,50 to 64,1.98,1.92
2023-11-27,65 to 74,2.56,2.75
2023-11-27,75+,3.63,3.63
2023-11-27,All Ages,2.03,2
2023-11-28,00 to 11,1.78,1.77
2023-11-28,12 to 15,0.95,0.93
2023-11-28,16 to 17,1.25,1.07
2023-11-28,18 to 24,1.69,1.52
2023-11-28,25 to 39,1.64,1.52
2023-11-28,40 to 49,1.8,1.63
2023-11-28,50 to 64,1.89,1.96
2023-11-28,65 to 74,2.42,2.75
2023-11-28,75+,3.61,3.69
2023-11-28,All Ages,2.03,2.04
2023-11-29,00 to 11,1.73,1.8
2023-11-29,12 to 15,0.82,0.91
2023-11-29,16 to 17,0.95,1.06
2023-11-29,18 to 24,1.69,1.57
2023-11-29,25 to 39,1.72,1.57
2023-11-29,40 to 49,1.67,1.66
2023-11-29,50 to 64,1.97,1.98
2023-11-29,65 to 74,2.62,2.78
2023-11-29,75+,3.62,3.7
2023-11-29,All Ages,2.05,2.06
2023-11-30,00 to 11,1.81,1.8
2023-11-30,12 to 15,0.86,0.91
2023-11-30,16 to 17,1.04,1.05
2023-11-30,18 to 24,1.62,1.59
2023-11-30,25 to 39,1.57,1.58
2023-11-30,40 to 49,1.61,1.66
2023-11-30,50 to 64,1.81,1.93
2023-11-30,65 to 74,2.62,2.69
2023-11-30,75+,3.59,3.67
2023-11-30,All Ages,1.99,2.04
2023-12-01,00 to 11,1.89,1.84
2023-12-01,12 to 15,0.83,0.91
2023-12-01,16 to 17,1.11,1.07
2023-12-01,18 to 24,1.51,1.6
2023-12-01,25 to 39,1.45,1.59
2023-12-01,40 to 49,1.59,1.67
2023-12-01,50 to 64,1.77,1.93
2023-12-01,65 to 74,2.46,2.67
2023-12-01,75+,3.57,3.69
2023-12-01,All Ages,1.96,2.05
2023-12-02,00 to 11,1.97,1.87
2023-12-02,12 to 15,0.94,0.89
2023-12-02,16 to 17,1,1.06
2023-12-02,18 to 24,1.44,1.6
2023-12-02,25 to 39,1.47,1.6
2023-12-02,40 to 49,1.65,1.68
2023-12-02,50 to 64,2.03,1.93
2023-12-02,65 to 74,2.92,2.68
2023-12-02,75+,3.94,3.72
2023-12-02,All Ages,2.1,2.06
2023-12-03,00 to 11,1.95,1.84
2023-12-03,12 to 15,1.25,0.92
2023-12-03,16 to 17,1.28,1.11
2023-12-03,18 to 24,1.72,1.61
2023-12-03,25 to 39,1.59,1.58
2023-12-03,40 to 49,1.79,1.68
2023-12-03,50 to 64,2.24,1.95
2023-12-03,65 to 74,3.15,2.67
2023-12-03,75+,4.15,3.72
2023-12-03,All Ages,2.24,2.06
2023-12-04,00 to 11,1.7,1.83
2023-12-04,12 to 15,0.99,0.94
